2026-01-27 15:29:41,182 | INFO | gen20 | youtube_dining_search_100.csv shape=100 x 8
2026-01-27 15:29:41,183 | INFO | gen20 | naverlab_dining_trend_comparison.csv shape=12 x 6
2026-01-27 15:29:41,206 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/cards_merged.csv
2026-01-27 15:29:41,208 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/spending_pattern_20s.csv
2026-01-27 15:29:41,214 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:29:41,221 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_tfidf_keywords.csv
2026-01-27 15:29:41,225 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_monthly_trend.csv
2026-01-27 15:29:41,231 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:29:41,232 | INFO | gen20 | sentiment_score mean=0.0162, std=0.1185
2026-01-27 15:29:41,234 | INFO | gen20 | 피어슨 상관계수: r=0.8787, p-value=0.0002
2026-01-27 15:29:41,235 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/trend_correlations.csv
2026-01-27 15:29:41,244 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/dining_benefit_scores.csv
2026-01-27 15:29:41,249 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/weighted_match_scores.csv
2026-01-27 15:29:41,254 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/top_cards.csv
2026-01-27 15:29:41,260 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/scenario_recommendations.csv
2026-01-27 15:29:41,264 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/plcc_proposal.md
2026-01-27 15:29:41,266 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/final_report.md
2026-01-27 15:29:41,270 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/dashboard.html
2026-01-27 15:29:41,270 | INFO | gen20 | 파이프라인 완료. outputs/reports 확인하세요.
