카드이용내역,,,,,,,,,,,,,,
■ 카드이용내역 요약,,,,,,,,,,,,,,
조회기간,사용처구분,정상∙취소 구분,이용구분,건수합계,금액합계(원),,,,,,,,,
2024.12.03~2025.12.02,전체,전체,전체,933건,"16,617,923",,,,,,,,,
■ 국내이용내역 상세,,,,,,,,,,,,,,
이용일자,이용시간,이용카드,이용가맹점,업종,이용금액,이용구분,할부개월,승인번호,취소여부,취소일자,취소금액,포인트사용,온누리상품권사용금액,매입여부
2025.11.10,1:17,본인 우리은행 포인트플러스 GRANDE(9*3*),예스이십사도서_문화비_예스이십사주,PG(온라인),"69,700",할부,5 개월,59060764,N,,0,0,0,Y
2025.11.09,20:04,본인 우리은행 포인트플러스 GRANDE(9*3*),쿠팡(쿠페이),간편결제(온라인),"32,300",일시불,-,35869763,N,,0,0,0,Y
2025.11.08,16:10,본인 우리은행 포인트플러스 GRANDE(9*3*),브리즈 테이블 고척본점,양식,"5,500",일시불,-,38561762,N,,0,0,0,Y
2025.11.08,15:10,본인 우리은행 포인트플러스 GRANDE(9*3*),삼거리약국,약국,"4,000",일시불,-,41146761,N,,0,0,0,Y
2025.11.08,11:38,본인 우리은행 포인트플러스 GRANDE(9*3*),카카오(기프티콘)_다날,PG(온라인),"13,900",일시불,-,65332760,N,,0,0,0,Y
2025.11.07,21:24,본인 우리은행 포인트플러스 GRANDE(9*3*),이마트24 R고척중앙점,편의점,"12,400",일시불,-,28449759,N,,0,0,0,Y
2025.11.06,20:44,본인 우리은행 포인트플러스 GRANDE(9*3*),구일역1번약국,약국,"10,000",일시불,-,38069758,N,,0,0,0,Y
2025.11.06,14:26,본인 우리은행 포인트플러스 GRANDE(9*3*),GS SHOP_GS SHOP(인증),PG(온라인),"109,000",할부,5 개월,49144757,N,,0,0,0,Y
2025.11.01,20:03,본인 우리은행 포인트플러스 GRANDE(9*3*),리정원 경의선숲길 대흥점,한식(한정식),"21,750",일시불,-,28757756,N,,0,0,0,Y
2025.11.01,15:38,본인 우리은행 포인트플러스 GRANDE(9*3*),나이스 워크 투데이,커피전문점,"6,500",일시불,-,67221755,N,,0,0,0,Y
2025.11.01,1:34,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)우아한형제들_(주)우아한형제,PG(온라인),"17,535",일시불,-,22583754,N,,0,0,0,Y
2025.10.31,19:24,본인 우리은행 포인트플러스 GRANDE(9*3*),다이소 고척동점,가정생활용품,"15,000",일시불,-,52457753,N,,0,0,0,Y
2025.10.31,17:16,본인 우리은행 포인트플러스 GRANDE(9*3*),쿠팡(쿠페이)_쿠팡(쿠페이),PG(온라인),"7,960",일시불,-,21635752,N,,0,0,0,Y
2025.10.31,16:20,본인 우리은행 포인트플러스 GRANDE(9*3*),쿠팡(쿠페이),간편결제(온라인),"7,960",일시불,-,61031751,Y,2025.10.31,"-7,960",,0,N
2025.10.30,16:32,본인 우리은행 포인트플러스 GRANDE(9*3*),이디야 고척사거리점,커피전문점,"3,200",일시불,-,44363750,N,,0,0,0,Y
2025.10.30,16:28,본인 우리은행 포인트플러스 GRANDE(9*3*),조이약국,약국,"5,000",일시불,-,40622749,N,,0,0,0,Y
2025.10.30,16:23,본인 우리은행 포인트플러스 GRANDE(9*3*),조준호이비인후과의원,이비인후과,"5,500",일시불,-,59907748,N,,0,0,0,Y
2025.10.30,16:02,본인 우리은행 포인트플러스 GRANDE(9*3*),연세사랑모아여성병원,산부인과,"38,900",일시불,-,63736747,N,,0,0,0,Y
2025.10.30,14:59,본인 우리은행 포인트플러스 GRANDE(9*3*),김밥왕국,기타일반음식,"10,000",일시불,-,38845746,N,,0,0,0,Y
2025.10.29,20:02,본인 우리은행 포인트플러스 GRANDE(9*3*),행복한백화점,백화점,"25,900",일시불,-,48721745,N,,0,0,0,Y
2025.10.29,11:56,본인 우리은행 포인트플러스 GRANDE(9*3*),일품마라탕,중식,"9,000",일시불,-,39241744,N,,0,0,0,Y
2025.10.29,11:41,본인 우리은행 포인트플러스 GRANDE(9*3*),아나파한방병원,한의원/한방병원,"36,100",일시불,-,29713743,N,,0,0,0,Y
2025.10.28,23:02,본인 우리은행 포인트플러스 GRANDE(9*3*),카페24_제이와이에스글로벌,PG(온라인),"40,800",일시불,-,63331742,N,,0,0,0,Y
2025.10.28,17:47,본인 우리은행 포인트플러스 GRANDE(9*3*),문화비_알라딘커뮤니케이션_알라딘커뮤니케이션_문화비,PG(온라인),"73,800",할부,5 개월,40301741,N,,0,0,0,Y
2025.10.28,15:14,본인 우리은행 포인트플러스 GRANDE(9*3*),경기마트 맘스점,슈퍼마켓,"22,540",일시불,-,54634740,N,,0,0,0,Y
2025.10.28,13:43,본인 우리은행 포인트플러스 GRANDE(9*3*),우아한형제들_주식회사 우아한형제들,PG(온라인),"12,800",일시불,-,67284739,N,,0,0,0,Y
2025.10.27,23:26,본인 우리은행 포인트플러스 GRANDE(9*3*),홈앤쇼핑_(주)홈앤쇼핑,PG(온라인),"44,910",일시불,-,54826738,N,,0,0,0,Y
2025.10.27,18:37,본인 우리은행 포인트플러스 GRANDE(9*3*),씨제이올리브영(주)고척아이파크몰점,화장품,"47,400",일시불,-,24510737,N,,0,0,0,Y
2025.10.27,17:59,본인 우리은행 포인트플러스 GRANDE(9*3*),에이치디씨현대산업개발(주)고척아이파크쇼핑센터,백화점,"14,000",일시불,-,59999736,N,,0,0,0,Y
2025.10.27,15:39,본인 우리은행 포인트플러스 GRANDE(9*3*),아나파한방병원,한의원/한방병원,"19,300",일시불,-,23358735,N,,0,0,0,Y
2025.10.26,21:46,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)뉴스마트파킹,커피전문점,"1,000",일시불,-,30971734,N,,0,0,0,Y
2025.10.25,21:02,본인 우리은행 포인트플러스 GRANDE(9*3*),우아한형제들_주식회사우,PG(온라인),"29,800",일시불,-,50930733,N,,0,0,0,Y
2025.10.25,12:11,본인 우리은행 포인트플러스 GRANDE(9*3*),아나파한방병원,한의원/한방병원,"23,500",일시불,-,62242732,N,,0,0,0,Y
2025.10.24,15:25,본인 우리은행 포인트플러스 GRANDE(9*3*),우정사업본부(우체국),우체국서비스,"13,500",일시불,-,69129731,N,,0,0,0,Y
2025.10.24,15:25,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)영화포장,비기계류제조업,700,일시불,-,65751730,N,,0,0,0,Y
2025.10.22,17:04,본인 우리은행 포인트플러스 GRANDE(9*3*),인터넷상거래_주식회사 인프랩,PG(온라인),"8,910",일시불,-,40373729,N,,0,0,0,Y
2025.10.22,9:20,본인 우리은행 포인트플러스 GRANDE(9*3*),쿠팡(쿠페이)_쿠팡(쿠페이),PG(온라인),"28,000",일시불,-,52740728,N,,0,0,0,Y
2025.10.22,0:28,본인 우리은행 포인트플러스 GRANDE(9*3*),쿠팡(쿠페이)_쿠팡(쿠페이),PG(온라인),"3,700",일시불,-,24613727,N,,0,0,0,Y
2025.10.21,19:54,본인 우리은행 포인트플러스 GRANDE(9*3*),고척칼국수,기타일반음식,"9,000",일시불,-,43147726,N,,0,0,0,Y
2025.10.20,18:49,본인 우리은행 포인트플러스 GRANDE(9*3*),김밥천국,기타일반음식,"4,000",일시불,-,39527725,N,,0,0,0,Y
